id,question,cardId,difficulty,source
ex-01788,"Before I reveal the optimizer, Give me a plain English explanation of stockout.",product-availability,basic,generated
ex-01789,"For the Autumn and Leaves case, How should I think about stockout for the parka problem?",product-availability,basic,generated
ex-01790,"As a student, What should I look for when evaluating product availability?",product-availability,basic,generated
ex-01791,"Before I reveal the optimizer, What is the managerial meaning of service level?",product-availability,intermediate,generated
ex-01792,"Before I reveal the optimizer, Can you define stockout in simple English?",product-availability,basic,generated
ex-01793,"In the current scenario, How should I think about product availability for the parka problem?",product-availability,intermediate,generated
ex-01794,"Before I reveal the optimizer, Give me a plain English explanation of service level.",product-availability,basic,generated
ex-01795,"Before I reveal the optimizer, How do I know if CSL matters here?",product-availability,intermediate,generated
ex-01796,"As a student, Is service level a probability, a quantity, or a dollar value?",product-availability,basic,generated
ex-01797,"As a student, What is a good way to interpret CSL?",product-availability,basic,generated
ex-01798,What is the intuition behind stockout?,product-availability,basic,generated
ex-01799,"For the Autumn and Leaves case, What is the managerial meaning of Product availability and service level?",product-availability,applied,generated
ex-01800,"Before I reveal the optimizer, What should I look for when evaluating CSL?",product-availability,basic,generated
ex-01801,"Before I reveal the optimizer, Can you explain CSL without giving away the final answer?",product-availability,basic,generated
ex-01802,How can I use the chart for service level?,product-availability,basic,generated
ex-01803,"Before I reveal the optimizer, What happens to Product availability and service level if capacity is smaller?",product-availability,basic,generated
ex-01804,"In the current scenario, Can you define stockout in simple English?",product-availability,basic,generated
ex-01805,"In the current scenario, Is CSL a probability, a quantity, or a dollar value?",product-availability,basic,generated
ex-01806,"For the Autumn and Leaves case, Why should I not ignore CSL?",product-availability,intermediate,generated
ex-01807,"For the Autumn and Leaves case, Does CSL apply to Autumn, Leaves, or both?",product-availability,intermediate,generated
ex-01808,Give me a plain English explanation of Product availability and service level.,product-availability,basic,generated
ex-01809,What happens to Product availability and service level if capacity is smaller?,product-availability,basic,generated
ex-01810,"Before I reveal the optimizer, What does the table tell me about stockout?",product-availability,applied,generated
ex-01811,"As a student, What happens to service level if capacity is larger?",product-availability,intermediate,generated
ex-01812,"In the current scenario, What does the table tell me about CSL?",product-availability,applied,generated
ex-01813,"Before I reveal the optimizer, Can you compare Autumn and Leaves using CSL?",product-availability,basic,generated
ex-01814,"Before I reveal the optimizer, How would I describe stockout to a manager?",product-availability,applied,generated
ex-01815,Can you give a short hint about fill rate?,fillrate-csl,basic,generated
ex-01816,"For the Autumn and Leaves case, When would service level change my recommendation?",fillrate-csl,basic,generated
ex-01817,"As a student, How can I use the chart for CSL?",fillrate-csl,basic,generated
ex-01818,"In the current scenario, How should I think about CSL for the parka problem?",fillrate-csl,basic,generated
ex-01819,Why should I not ignore service level?,fillrate-csl,intermediate,generated
ex-01820,"For the Autumn and Leaves case, How do I avoid misusing CSL versus fill rate?",fillrate-csl,applied,generated
ex-01821,"As a student, Why should I not ignore fill rate?",fillrate-csl,intermediate,generated
ex-01822,"As a student, What does the table tell me about CSL versus fill rate?",fillrate-csl,applied,generated
ex-01823,"As a student, What is the formula idea behind CSL?",fillrate-csl,intermediate,generated
ex-01824,"Before I reveal the optimizer, What happens to service level if capacity is smaller?",fillrate-csl,applied,generated
ex-01825,"For the Autumn and Leaves case, Can you give a short hint about fill rate?",fillrate-csl,basic,generated
ex-01826,What mistake do students make about CSL?,fillrate-csl,applied,generated
ex-01827,"For the Autumn and Leaves case, What is the formula idea behind fill rate?",fillrate-csl,basic,generated
ex-01828,"For the Autumn and Leaves case, What is a good way to interpret CSL versus fill rate?",fillrate-csl,basic,generated
ex-01829,"In the current scenario, What is the intuition behind CSL versus fill rate?",fillrate-csl,basic,generated
ex-01830,"Before I reveal the optimizer, How is service level connected to marginal contribution?",fillrate-csl,basic,generated
ex-01831,"In the current scenario, I am confused about CSL; explain it slowly.",fillrate-csl,intermediate,generated
ex-01832,"As a student, How can I use the chart for CSL?",fillrate-csl,intermediate,generated
ex-01833,How do I avoid misusing fill rate?,fillrate-csl,basic,generated
ex-01834,"For the Autumn and Leaves case, Does service level apply to Autumn, Leaves, or both?",fillrate-csl,intermediate,generated
ex-01835,"As a student, What is the managerial meaning of fill rate?",fillrate-csl,applied,generated
ex-01836,"In the current scenario, What are the units of CSL?",fillrate-csl,basic,generated
ex-01837,What mistake do students make about fill rate?,fillrate-csl,basic,generated
ex-01838,Can you define CSL versus fill rate in simple English?,fillrate-csl,intermediate,generated
ex-01839,What should I look for when evaluating CSL?,fillrate-csl,intermediate,generated
ex-01840,"Before I reveal the optimizer, How is service level connected to marginal contribution?",fillrate-csl,applied,generated
ex-01841,"Before I reveal the optimizer, Give me a plain English explanation of fill rate.",fillrate-csl,basic,generated
ex-01842,"As a student, Can you define CSL in simple English?",fillrate-csl,basic,generated
ex-01843,"Before I reveal the optimizer, What happens to fill rate if capacity is larger?",fillrate-csl,basic,generated
ex-01844,What is the intuition behind CSL?,fillrate-csl,basic,generated
ex-01845,"Before I reveal the optimizer, What happens to fill rate if capacity is smaller?",fillrate-csl,basic,generated
ex-01846,"For the Autumn and Leaves case, What are the units of fill rate?",fillrate-csl,basic,generated
ex-01847,"Before I reveal the optimizer, What happens to CSL if capacity is larger?",fillrate-csl,applied,generated
ex-01848,"As a student, Give me a plain English explanation of CSL versus fill rate.",fillrate-csl,intermediate,generated
ex-01849,"Before I reveal the optimizer, Does service level apply to Autumn, Leaves, or both?",fillrate-csl,basic,generated
ex-01850,"For the Autumn and Leaves case, What is the managerial meaning of service level?",fillrate-csl,intermediate,generated
ex-01851,"Before I reveal the optimizer, How should I think about fill rate for the parka problem?",fillrate-csl,intermediate,generated
ex-01852,What happens to service level if capacity is smaller?,fillrate-csl,basic,generated
ex-01853,"Before I reveal the optimizer, What happens to service level if capacity is larger?",fillrate-csl,basic,generated
ex-01854,"Before I reveal the optimizer, How should I think about fill rate for the parka problem?",fillrate-csl,intermediate,generated
ex-01855,"Before I reveal the optimizer, How is CSL versus fill rate connected to marginal contribution?",fillrate-csl,basic,generated
ex-01856,Can you give a short hint about CSL?,fillrate-csl,intermediate,generated
ex-01857,"As a student, How do I avoid misusing service level?",fillrate-csl,intermediate,generated
ex-01858,"As a student, I am confused about service level; explain it slowly.",fillrate-csl,basic,generated
ex-01859,Give me a plain English explanation of CSL versus fill rate.,fillrate-csl,intermediate,generated
ex-01860,When would CSL versus fill rate change my recommendation?,fillrate-csl,basic,generated
ex-01861,"As a student, How does fill rate affect the quantities?",fillrate-csl,intermediate,generated
ex-01862,"In the current scenario, What is the managerial meaning of CSL?",fillrate-csl,basic,generated
ex-01863,What happens to fill rate if capacity is larger?,fillrate-csl,basic,generated
ex-01864,"Before I reveal the optimizer, How is CSL versus fill rate connected to capacity?",fillrate-csl,intermediate,generated
ex-01865,"In the current scenario, How does CSL affect the quantities?",fillrate-csl,intermediate,generated
ex-01866,"In the current scenario, Can you define CSL versus fill rate in simple English?",fillrate-csl,basic,generated
ex-01867,Why is fill rate important in this lecture?,fillrate-csl,applied,generated
ex-01868,"In the current scenario, When would CSL versus fill rate change my recommendation?",fillrate-csl,basic,generated
ex-01869,"Before I reveal the optimizer, What are the units of CSL?",fillrate-csl,applied,generated
ex-01870,"Before I reveal the optimizer, What is the formula idea behind CSL versus fill rate?",fillrate-csl,basic,generated
ex-01871,"As a student, How is service level connected to marginal contribution?",fillrate-csl,basic,generated
ex-01872,"In the current scenario, What happens to service level if capacity is smaller?",fillrate-csl,basic,generated
ex-01873,Can you give a short hint about CSL?,fillrate-csl,basic,generated
ex-01874,"Before I reveal the optimizer, What happens to fill rate if capacity is larger?",fillrate-csl,basic,generated
ex-01875,"As a student, When would CSL versus fill rate change my recommendation?",fillrate-csl,basic,generated
ex-01876,"In the current scenario, Can you define CSL versus fill rate in simple English?",fillrate-csl,basic,generated
ex-01877,"As a student, What happens to fill rate if capacity is larger?",fillrate-csl,applied,generated
ex-01878,"As a student, What does CSL versus fill rate mean?",fillrate-csl,applied,generated
ex-01879,"In the current scenario, What is the formula idea behind service level?",fillrate-csl,basic,generated
ex-01880,"In the current scenario, What is the managerial meaning of service level?",fillrate-csl,applied,generated
ex-01881,"Before I reveal the optimizer, What mistake do students make about CSL versus fill rate?",fillrate-csl,intermediate,generated
ex-01882,"As a student, How should I think about fill rate for the parka problem?",fillrate-csl,intermediate,generated
ex-01883,"As a student, What happens to CSL versus fill rate if capacity is larger?",fillrate-csl,basic,generated
ex-01884,Can you explain service level without giving away the final answer?,fillrate-csl,basic,generated
ex-01885,How do I avoid misusing fill rate?,fillrate-csl,basic,generated
ex-01886,"For the Autumn and Leaves case, How should I think about service level for the parka problem?",fillrate-csl,basic,generated
ex-01887,How does fill rate affect the quantities?,fillrate-csl,intermediate,generated
ex-01888,How does fill rate affect the quantities?,fillrate-csl,intermediate,generated
ex-01889,"Before I reveal the optimizer, What does CSL mean?",fillrate-csl,applied,generated
ex-01890,"As a student, How do I know if service level matters here?",fillrate-csl,applied,generated
ex-01891,"In the current scenario, Give me a plain English explanation of CSL versus fill rate.",fillrate-csl,intermediate,generated
ex-01892,"For the Autumn and Leaves case, What should I look for when evaluating fill rate?",fillrate-csl,basic,generated
ex-01893,What should I look for when evaluating CSL versus fill rate?,fillrate-csl,applied,generated
ex-01894,"For the Autumn and Leaves case, What is a good way to interpret CSL?",fillrate-csl,applied,generated
ex-01895,What are the units of service level?,fillrate-csl,applied,generated
ex-01896,I am confused about CSL versus fill rate; explain it slowly.,fillrate-csl,applied,generated
ex-01897,"For the Autumn and Leaves case, When would CSL change my recommendation?",fillrate-csl,basic,generated
ex-01898,"For the Autumn and Leaves case, What is a good way to interpret CSL?",fillrate-csl,basic,generated
ex-01899,"Before I reveal the optimizer, Give me a plain English explanation of CSL.",fillrate-csl,intermediate,generated
ex-01900,"In the current scenario, How is service level connected to capacity?",fillrate-csl,basic,generated
ex-01901,"As a student, What should I look for when evaluating CSL versus fill rate?",fillrate-csl,basic,generated
ex-01902,What should I look for when evaluating fill rate?,fillrate-csl,basic,generated
ex-01903,"Before I reveal the optimizer, How can I use the chart for CSL versus fill rate?",fillrate-csl,basic,generated
ex-01904,Can you explain service level without giving away the final answer?,fillrate-csl,basic,generated
ex-01905,"For the Autumn and Leaves case, Can you define CSL versus fill rate in simple English?",fillrate-csl,basic,generated
ex-01906,"As a student, Can you compare Autumn and Leaves using fill rate?",fillrate-csl,intermediate,generated
ex-01907,"In the current scenario, Can you define CSL in simple English?",fillrate-csl,basic,generated
ex-01908,"In the current scenario, What mistake do students make about service level?",fillrate-csl,basic,generated
ex-01909,"Before I reveal the optimizer, What happens to fill rate if capacity is smaller?",fillrate-csl,basic,generated
ex-01910,How do I avoid misusing CSL versus fill rate?,fillrate-csl,intermediate,generated
ex-01911,"As a student, Give me a plain English explanation of CSL.",fillrate-csl,applied,generated
ex-01912,"Before I reveal the optimizer, When would CSL change my recommendation?",fillrate-csl,intermediate,generated
ex-01913,"As a student, How can I use the chart for CSL?",fillrate-csl,intermediate,generated
ex-01914,"Before I reveal the optimizer, How should I think about CSL for the parka problem?",fillrate-csl,basic,generated
ex-01915,"In the current scenario, What is a good way to interpret service level?",fillrate-csl,applied,generated
ex-01916,"Before I reveal the optimizer, What is the formula idea behind service level?",fillrate-csl,basic,generated
ex-01917,"Before I reveal the optimizer, How do I avoid misusing CSL versus fill rate?",fillrate-csl,applied,generated
ex-01918,How does service level affect the quantities?,fillrate-csl,applied,generated
ex-01919,"In the current scenario, What happens to fill rate if capacity is smaller?",fillrate-csl,intermediate,generated
ex-01920,What is the formula idea behind CSL versus fill rate?,fillrate-csl,intermediate,generated
ex-01921,"In the current scenario, Can you compare Autumn and Leaves using CSL?",fillrate-csl,basic,generated
ex-01922,"For the Autumn and Leaves case, Can you explain fill rate without giving away the final answer?",fillrate-csl,applied,generated
ex-01923,"Before I reveal the optimizer, How do I know if CSL versus fill rate matters here?",fillrate-csl,intermediate,generated
ex-01924,"In the current scenario, I am confused about service level; explain it slowly.",fillrate-csl,intermediate,generated
ex-01925,How does service level affect the quantities?,fillrate-csl,intermediate,generated
ex-01926,Can you give a short hint about CSL versus fill rate?,fillrate-csl,applied,generated
ex-01927,"In the current scenario, What are the units of service level?",fillrate-csl,applied,generated
ex-01928,How do I know if fill rate matters here?,fillrate-csl,basic,generated
ex-01929,"Before I reveal the optimizer, Can you define fill rate in simple English?",fillrate-csl,basic,generated
ex-01930,"As a student, What does the table tell me about CSL versus fill rate?",fillrate-csl,basic,generated
ex-01931,"As a student, When would CSL versus fill rate change my recommendation?",fillrate-csl,intermediate,generated
ex-01932,"In the current scenario, Can you explain service level without giving away the final answer?",fillrate-csl,intermediate,generated
ex-01933,"Before I reveal the optimizer, What does CSL mean?",fillrate-csl,basic,generated
ex-01934,"As a student, Does CSL apply to Autumn, Leaves, or both?",fillrate-csl,basic,generated
ex-01935,"For the Autumn and Leaves case, What is the managerial meaning of z-score?",z-score,applied,generated
ex-01936,"In the current scenario, Can you give a short hint about z-score interpretation?",z-score,applied,generated
ex-01937,"Does standard deviation apply to Autumn, Leaves, or both?",z-score,basic,generated
ex-01938,"For the Autumn and Leaves case, What is a good way to interpret standard deviation?",z-score,intermediate,generated
ex-01939,"Before I reveal the optimizer, What are the units of normal quantile?",z-score,intermediate,generated
ex-01940,"For the Autumn and Leaves case, What are the units of z-score interpretation?",z-score,intermediate,generated
ex-01941,How does z-score interpretation affect the quantities?,z-score,basic,generated
ex-01942,"In the current scenario, What mistake do students make about standard deviation?",z-score,applied,generated
ex-01943,"As a student, What mistake do students make about z-score?",z-score,basic,generated
ex-01944,"Before I reveal the optimizer, What happens to standard deviation if capacity is smaller?",z-score,applied,generated
ex-01945,"As a student, Give me a plain English explanation of z-score interpretation.",z-score,basic,generated
ex-01946,"In the current scenario, What is a good way to interpret normal quantile?",z-score,applied,generated
ex-01947,"For the Autumn and Leaves case, How do I know if z-score matters here?",z-score,intermediate,generated
ex-01948,How is standard deviation connected to capacity?,z-score,basic,generated
ex-01949,"For the Autumn and Leaves case, How does normal quantile affect the quantities?",z-score,basic,generated
ex-01950,"Before I reveal the optimizer, I am confused about z-score interpretation; explain it slowly.",z-score,basic,generated
ex-01951,"In the current scenario, Why is normal quantile important in this lecture?",z-score,applied,generated
ex-01952,"In the current scenario, How is z-score interpretation connected to marginal contribution?",z-score,intermediate,generated
ex-01953,"As a student, Can you compare Autumn and Leaves using normal quantile?",z-score,basic,generated
ex-01954,"In the current scenario, How can I use the chart for standard deviation?",z-score,intermediate,generated
ex-01955,"Before I reveal the optimizer, Can you compare Autumn and Leaves using standard deviation?",z-score,basic,generated
ex-01956,"For the Autumn and Leaves case, How is z-score interpretation connected to capacity?",z-score,intermediate,generated
ex-01957,"For the Autumn and Leaves case, How does standard deviation affect the quantities?",z-score,applied,generated
ex-01958,"For the Autumn and Leaves case, Can you define z-score interpretation in simple English?",z-score,applied,generated
ex-01959,"For the Autumn and Leaves case, What is a good way to interpret standard deviation?",z-score,intermediate,generated
ex-01960,What is a good way to interpret z-score interpretation?,z-score,intermediate,generated
ex-01961,What does the table tell me about standard deviation?,z-score,intermediate,generated
ex-01962,"In the current scenario, Why should I not ignore standard deviation?",z-score,intermediate,generated
ex-01963,"For the Autumn and Leaves case, What does the table tell me about standard deviation?",z-score,applied,generated
ex-01964,"For the Autumn and Leaves case, How do I know if z-score matters here?",z-score,basic,generated
ex-01965,"Before I reveal the optimizer, What does z-score interpretation mean?",z-score,intermediate,generated
ex-01966,"In the current scenario, Can you explain z-score without giving away the final answer?",z-score,intermediate,generated
ex-01967,"As a student, What happens to normal quantile if capacity is smaller?",z-score,applied,generated
ex-01968,"As a student, Can you define normal quantile in simple English?",z-score,basic,generated
ex-01969,"For the Autumn and Leaves case, How would I describe z-score interpretation to a manager?",z-score,basic,generated
ex-01970,"For the Autumn and Leaves case, How is z-score connected to marginal contribution?",z-score,basic,generated
ex-01971,"Before I reveal the optimizer, What is the managerial meaning of normal quantile?",z-score,applied,generated
ex-01972,What is the managerial meaning of normal quantile?,z-score,intermediate,generated
ex-01973,"As a student, Why is normal quantile important in this lecture?",z-score,basic,generated
ex-01974,Why is normal quantile important in this lecture?,z-score,basic,generated
ex-01975,"For the Autumn and Leaves case, Can you give a short hint about z-score interpretation?",z-score,basic,generated
ex-01976,"As a student, I am confused about z-score interpretation; explain it slowly.",z-score,applied,generated
ex-01977,Give me a plain English explanation of z-score interpretation.,z-score,basic,generated
ex-01978,"Before I reveal the optimizer, What is the managerial meaning of z-score?",z-score,basic,generated
ex-01979,"Before I reveal the optimizer, I am confused about z-score; explain it slowly.",z-score,basic,generated
ex-01980,"In the current scenario, When would normal quantile change my recommendation?",z-score,basic,generated
ex-01981,"Before I reveal the optimizer, What does z-score interpretation mean?",z-score,basic,generated
ex-01982,Can you compare Autumn and Leaves using z-score interpretation?,z-score,intermediate,generated
ex-01983,"In the current scenario, How does standard deviation affect the quantities?",z-score,basic,generated
ex-01984,"As a student, What happens to standard deviation if capacity is smaller?",z-score,applied,generated
ex-01985,"For the Autumn and Leaves case, Can you define standard deviation in simple English?",z-score,basic,generated
ex-01986,How is normal quantile connected to marginal contribution?,z-score,basic,generated
ex-01987,"Before I reveal the optimizer, What happens to z-score interpretation if capacity is larger?",z-score,basic,generated
ex-01988,"As a student, Can you give a short hint about normal quantile?",z-score,basic,generated
ex-01989,"As a student, What is the intuition behind z-score?",z-score,basic,generated
ex-01990,"Before I reveal the optimizer, How would I describe z-score interpretation to a manager?",z-score,intermediate,generated
ex-01991,"Before I reveal the optimizer, How can I use the chart for z-score?",z-score,basic,generated
ex-01992,"Does z-score interpretation apply to Autumn, Leaves, or both?",z-score,intermediate,generated
ex-01993,"For the Autumn and Leaves case, Can you compare Autumn and Leaves using standard deviation?",z-score,basic,generated
ex-01994,"In the current scenario, What mistake do students make about standard deviation?",z-score,intermediate,generated
ex-01995,"For the Autumn and Leaves case, How do I know if z-score interpretation matters here?",z-score,basic,generated
ex-01996,Why should I not ignore z-score?,z-score,intermediate,generated
ex-01997,What happens to normal quantile if capacity is larger?,z-score,intermediate,generated
ex-01998,What is the managerial meaning of z-score?,z-score,intermediate,generated
ex-01999,Can you define z-score interpretation in simple English?,z-score,basic,generated
ex-02000,"Before I reveal the optimizer, What should I look for when evaluating z-score interpretation?",z-score,applied,generated
ex-02001,"As a student, How is normal quantile connected to capacity?",z-score,basic,generated
ex-02002,"In the current scenario, What happens to standard deviation if capacity is smaller?",z-score,applied,generated
ex-02003,"For the Autumn and Leaves case, How should I think about z-score for the parka problem?",z-score,basic,generated
ex-02004,"In the current scenario, Can you define standard deviation in simple English?",z-score,basic,generated
ex-02005,"For the Autumn and Leaves case, How does normal quantile affect the quantities?",z-score,basic,generated
ex-02006,"As a student, How is standard deviation connected to capacity?",z-score,basic,generated
ex-02007,How would I describe z-score to a manager?,z-score,intermediate,generated
ex-02008,What is a good way to interpret z-score interpretation?,z-score,intermediate,generated
ex-02009,"As a student, Can you explain z-score interpretation without giving away the final answer?",z-score,basic,generated
ex-02010,"As a student, I am confused about normal quantile; explain it slowly.",z-score,applied,generated
ex-02011,"As a student, What happens to z-score interpretation if capacity is larger?",z-score,basic,generated
ex-02012,"In the current scenario, What is the formula idea behind normal quantile?",z-score,basic,generated
ex-02013,"As a student, How do I avoid misusing z-score?",z-score,basic,generated
ex-02014,"As a student, How is z-score interpretation connected to marginal contribution?",z-score,basic,generated
ex-02015,"For the Autumn and Leaves case, How do I avoid misusing standard deviation?",z-score,basic,generated
ex-02016,"For the Autumn and Leaves case, What is the managerial meaning of normal quantile?",z-score,basic,generated
ex-02017,How do I avoid misusing z-score?,z-score,basic,generated
ex-02018,Can you explain z-score interpretation without giving away the final answer?,z-score,basic,generated
ex-02019,"In the current scenario, What should I look for when evaluating z-score?",z-score,basic,generated
ex-02020,When would z-score interpretation change my recommendation?,z-score,basic,generated
ex-02021,"In the current scenario, Does z-score interpretation apply to Autumn, Leaves, or both?",z-score,basic,generated
ex-02022,"For the Autumn and Leaves case, When would normal quantile change my recommendation?",z-score,basic,generated
ex-02023,"In the current scenario, Why should I not ignore z-score interpretation?",z-score,basic,generated
ex-02024,"For the Autumn and Leaves case, What is the managerial meaning of standard deviation?",z-score,intermediate,generated
ex-02025,What mistake do students make about z-score?,z-score,intermediate,generated
ex-02026,"Before I reveal the optimizer, What should I look for when evaluating z-score?",z-score,basic,generated
ex-02027,"As a student, What happens to normal quantile if capacity is larger?",z-score,intermediate,generated
ex-02028,"As a student, How is standard deviation connected to capacity?",z-score,basic,generated
ex-02029,Can you give a short hint about z-score interpretation?,z-score,applied,generated
ex-02030,"For the Autumn and Leaves case, What is the managerial meaning of standard deviation?",z-score,basic,generated
ex-02031,"For the Autumn and Leaves case, Does normal quantile apply to Autumn, Leaves, or both?",z-score,intermediate,generated
ex-02032,What should I look for when evaluating standard deviation?,z-score,applied,generated
ex-02033,What is the managerial meaning of standard deviation?,z-score,applied,generated
ex-02034,"As a student, What happens to z-score interpretation if capacity is smaller?",z-score,basic,generated
ex-02035,"Is standard deviation a probability, a quantity, or a dollar value?",z-score,basic,generated
ex-02036,"As a student, How is normal quantile connected to capacity?",z-score,basic,generated
ex-02037,"As a student, What happens to z-score if capacity is smaller?",z-score,intermediate,generated
ex-02038,"Before I reveal the optimizer, Give me a plain English explanation of normal quantile.",z-score,basic,generated
ex-02039,"As a student, What does the table tell me about z-score?",z-score,applied,generated
ex-02040,"For the Autumn and Leaves case, Can you define z-score in simple English?",z-score,basic,generated
ex-02041,"Does normal quantile apply to Autumn, Leaves, or both?",z-score,intermediate,generated
ex-02042,Give me a plain English explanation of z-score interpretation.,z-score,applied,generated
ex-02043,"In the current scenario, How should I think about z-score interpretation for the parka problem?",z-score,intermediate,generated
ex-02044,"As a student, When would normal quantile change my recommendation?",z-score,applied,generated
ex-02045,"Before I reveal the optimizer, What is a good way to interpret z-score?",z-score,applied,generated
ex-02046,"Before I reveal the optimizer, What is the formula idea behind z-score interpretation?",z-score,basic,generated
ex-02047,How should I think about standard deviation for the parka problem?,z-score,basic,generated
ex-02048,What are the units of standard deviation?,z-score,intermediate,generated
ex-02049,"In the current scenario, How is z-score connected to capacity?",z-score,basic,generated
ex-02050,"For the Autumn and Leaves case, How do I know if z-score interpretation matters here?",z-score,intermediate,generated
ex-02051,"Before I reveal the optimizer, Why should I not ignore z-score interpretation?",z-score,applied,generated
ex-02052,"In the current scenario, I am confused about standard deviation; explain it slowly.",z-score,basic,generated
ex-02053,"As a student, Why is normal quantile important in this lecture?",z-score,basic,generated
ex-02054,"In the current scenario, What happens to z-score interpretation if capacity is smaller?",z-score,basic,generated
ex-02055,"As a student, What happens to min if capacity is larger?",leftover-sales,basic,generated
ex-02056,"In the current scenario, How is expected sales connected to marginal contribution?",leftover-sales,applied,generated
ex-02057,"As a student, Is Expected sales and expected leftover a probability, a quantity, or a dollar value?",leftover-sales,applied,generated
ex-02058,"For the Autumn and Leaves case, When would salvage change my recommendation?",leftover-sales,basic,generated
ex-02059,Can you define salvage in simple English?,leftover-sales,intermediate,generated
ex-02060,"In the current scenario, When would Expected sales and expected leftover change my recommendation?",leftover-sales,basic,generated
ex-02061,"Before I reveal the optimizer, I am confused about leftover; explain it slowly.",leftover-sales,basic,generated
ex-02062,"For the Autumn and Leaves case, Can you compare Autumn and Leaves using expected sales?",leftover-sales,applied,generated
ex-02063,"For the Autumn and Leaves case, How do I avoid misusing leftover?",leftover-sales,basic,generated
ex-02064,"For the Autumn and Leaves case, Does Expected sales and expected leftover apply to Autumn, Leaves, or both?",leftover-sales,basic,generated
ex-02065,"As a student, I am confused about leftover; explain it slowly.",leftover-sales,basic,generated
ex-02066,Can you explain min without giving away the final answer?,leftover-sales,applied,generated
ex-02067,"For the Autumn and Leaves case, How should I think about leftover for the parka problem?",leftover-sales,basic,generated
ex-02068,"Before I reveal the optimizer, What are the units of expected sales?",leftover-sales,applied,generated
ex-02069,"Before I reveal the optimizer, What is the formula idea behind salvage?",leftover-sales,basic,generated
ex-02070,"In the current scenario, Does leftover apply to Autumn, Leaves, or both?",leftover-sales,intermediate,generated
ex-02071,"As a student, How do I avoid misusing min?",leftover-sales,basic,generated
ex-02072,"In the current scenario, Can you define leftover in simple English?",leftover-sales,basic,generated
ex-02073,"Before I reveal the optimizer, Is salvage a probability, a quantity, or a dollar value?",leftover-sales,intermediate,generated
ex-02074,"As a student, What is the formula idea behind leftover?",leftover-sales,basic,generated
ex-02075,"In the current scenario, Is Expected sales and expected leftover a probability, a quantity, or a dollar value?",leftover-sales,intermediate,generated
ex-02076,How is min connected to marginal contribution?,leftover-sales,applied,generated
ex-02077,"As a student, What is a good way to interpret Expected sales and expected leftover?",leftover-sales,basic,generated
ex-02078,"For the Autumn and Leaves case, When would min change my recommendation?",leftover-sales,basic,generated
ex-02079,I am confused about min; explain it slowly.,leftover-sales,basic,generated
ex-02080,"As a student, What should I look for when evaluating salvage?",leftover-sales,basic,generated
ex-02081,"Before I reveal the optimizer, How should I think about min for the parka problem?",leftover-sales,applied,generated
ex-02082,"For the Autumn and Leaves case, What mistake do students make about leftover?",leftover-sales,applied,generated
ex-02083,"Before I reveal the optimizer, What happens to leftover if capacity is smaller?",leftover-sales,applied,generated
ex-02084,"As a student, What is the managerial meaning of expected sales?",leftover-sales,basic,generated
ex-02085,"In the current scenario, Is min a probability, a quantity, or a dollar value?",leftover-sales,applied,generated
ex-02086,"Is min a probability, a quantity, or a dollar value?",leftover-sales,basic,generated
ex-02087,"For the Autumn and Leaves case, What are the units of salvage?",leftover-sales,basic,generated
ex-02088,"Before I reveal the optimizer, I am confused about min; explain it slowly.",leftover-sales,basic,generated
ex-02089,"As a student, How should I think about min for the parka problem?",leftover-sales,intermediate,generated
ex-02090,"As a student, Can you give a short hint about min?",leftover-sales,applied,generated
ex-02091,How does min affect the quantities?,leftover-sales,applied,generated
ex-02092,When would expected sales change my recommendation?,leftover-sales,applied,generated
ex-02093,"For the Autumn and Leaves case, Why is min important in this lecture?",leftover-sales,basic,generated
ex-02094,"In the current scenario, What is the formula idea behind expected sales?",leftover-sales,basic,generated
ex-02095,"For the Autumn and Leaves case, Give me a plain English explanation of min.",leftover-sales,basic,generated
ex-02096,How is Expected sales and expected leftover connected to capacity?,leftover-sales,applied,generated
ex-02097,"Before I reveal the optimizer, Give me a plain English explanation of min.",leftover-sales,basic,generated
ex-02098,"In the current scenario, What is the managerial meaning of min?",leftover-sales,basic,generated
ex-02099,"As a student, Can you define min in simple English?",leftover-sales,applied,generated
ex-02100,"As a student, How is salvage connected to marginal contribution?",leftover-sales,basic,generated
ex-02101,"In the current scenario, Can you give a short hint about leftover?",leftover-sales,applied,generated
ex-02102,"Before I reveal the optimizer, What are the units of salvage?",leftover-sales,intermediate,generated
ex-02103,"Before I reveal the optimizer, What happens to expected sales if capacity is larger?",leftover-sales,basic,generated
ex-02104,"For the Autumn and Leaves case, How do I know if expected sales matters here?",leftover-sales,applied,generated
ex-02105,"In the current scenario, Is Expected sales and expected leftover a probability, a quantity, or a dollar value?",leftover-sales,basic,generated
ex-02106,"Before I reveal the optimizer, Can you give a short hint about expected sales?",leftover-sales,intermediate,generated
ex-02107,"For the Autumn and Leaves case, How is expected sales connected to capacity?",leftover-sales,applied,generated
ex-02108,"In the current scenario, How is Expected sales and expected leftover connected to capacity?",leftover-sales,basic,generated
ex-02109,"In the current scenario, What should I look for when evaluating salvage?",leftover-sales,applied,generated
ex-02110,"For the Autumn and Leaves case, Give me a plain English explanation of min.",leftover-sales,basic,generated
ex-02111,"For the Autumn and Leaves case, When would expected sales change my recommendation?",leftover-sales,basic,generated
ex-02112,"For the Autumn and Leaves case, What is the intuition behind Expected sales and expected leftover?",leftover-sales,basic,generated
ex-02113,Can you compare Autumn and Leaves using min?,leftover-sales,applied,generated
